,0
1995-08-31,1877.431510666405
1995-09-30,2405.285442268056
1995-10-31,3242.105378271793
1995-11-30,3922.1891882048526
1995-12-31,6118.5020522390605
1996-01-31,1262.6186223578306
1996-02-29,1592.1375311967774
1996-03-31,1831.652546035692
1996-04-30,1806.4696566923733
1996-05-31,1651.7227528821222
1996-06-30,1586.5072589036995
1996-07-31,1977.0143968634059
